Iterations,Threads,Tasks,Average,Deviation
500,1,1,82919830,1.710834042112794E7
500,1,10,62344500,1075920.3725834454
500,1,250000,126933220,1.4952100303128537E7
500,4,4,18593329,2099902.4267696342
500,4,40,17780589,330659.78677879774
500,4,250000,76927870,1.5014753702172155E7
500,8,8,10822540,262128.4728151446
500,8,80,62479509,3255513.7538525467
500,8,250000,77227930,1.9530941184313685E7
1000,1,1,117231669,6051938.409492995
1000,1,10,114996040,1135719.1880797383
1000,1,250000,168621059,7096988.832407495
1000,4,4,32880000,1218734.081750527
1000,4,40,31706789,458988.9325235414
1000,4,250000,88620879,1.4257188155615296E7
1000,8,8,23950510,1.6556101384671407E7
1000,8,80,115527760,1188749.7389982047
1000,8,250000,76161560,1.0073934324730735E7
5000,1,1,543173829,1166857.8612269363
5000,1,10,546738309,5538103.677975756
5000,1,250000,630168320,1.4581315983713556E7
5000,4,4,154158339,1.471769862915872E7
5000,4,40,145302339,1995584.618989909
5000,4,250000,212435020,2.3435801237670973E7
5000,8,8,85034130,3180033.512801461
5000,8,80,546733179,5178224.398391528
5000,8,250000,131929540,9184514.36092798
10000,1,1,1082590160,4897803.211171331
10000,1,10,1085374090,5133043.5923929475
10000,1,250000,1184842899,1.711506723793923E7
10000,4,4,299458910,3240208.3368846206
10000,4,40,290074870,1.015492674845459E7
10000,4,250000,349711109,2.0716230421192143E7
10000,8,8,168527049,5429546.2651818795
10000,8,80,1079835089,5675138.639065948
10000,8,250000,227386490,2.2333016085660405E7
